MACHINE_ID,DURATION,TARGET_DURATION,SHOT_TIME,VOLUME,VENDOR_NAME,SENSOR_CODE,PRODUCT_NAME,TYPE,STATUS,SENSOR_ID,TOOL_ID,VENDOR_ID,PRODUCT_ID,UPLOAD_TIME,PROCESSING_DATE
MX-9201,36.1,35.0,2026-06-15 06:00:00,1,ACME PRECISION,CNT-99100,Turbo Housing Shell,Injection Molding,active,99100,5200,900,10,2026-06-15 07:00:00,2026-06-15
MX-9201,35.9,35.0,2026-06-15 06:20:00,1,ACME PRECISION,CNT-99100,Turbo Housing Shell,Injection Molding,active,99100,5200,900,10,2026-06-15 07:20:00,2026-06-15
MX-9201,36.2,35.0,2026-06-15 06:40:00,1,ACME PRECISION,CNT-99100,Turbo Housing Shell,Injection Molding,active,99100,5200,900,10,2026-06-15 07:40:00,2026-06-15
MX-9201,40.1,35.0,2026-06-15 07:00:00,1,ACME PRECISION,CNT-99100,Turbo Housing Shell,Injection Molding,active,99100,5200,900,10,2026-06-15 08:00:00,2026-06-15
MX-9201,36.1,35.0,2026-06-15 07:20:00,1,ACME PRECISION,CNT-99100,Turbo Housing Shell,Injection Molding,active,99100,5200,900,10,2026-06-15 08:20:00,2026-06-15
MX-9201,29.6,35.0,2026-06-15 07:40:00,1,ACME PRECISION,CNT-99100,Turbo Housing Shell,Injection Molding,active,99100,5200,900,10,2026-06-15 08:40:00,2026-06-15
MX-9201,38.3,35.0,2026-06-15 08:00:00,1,ACME PRECISION,CNT-99100,Turbo Housing Shell,Injection Molding,active,99100,5200,900,10,2026-06-15 09:00:00,2026-06-15
MX-9201,35.5,35.0,2026-06-15 08:20:00,1,ACME PRECISION,CNT-99100,Turbo Housing Shell,Injection Molding,active,99100,5200,900,10,2026-06-15 09:20:00,2026-06-15
MX-9201,35.7,35.0,2026-06-15 08:40:00,1,ACME PRECISION,CNT-99100,Turbo Housing Shell,Injection Molding,active,99100,5200,900,10,2026-06-15 09:40:00,2026-06-15
MX-9201,37.3,35.0,2026-06-15 09:00:00,1,ACME PRECISION,CNT-99100,Turbo Housing Shell,Injection Molding,active,99100,5200,900,10,2026-06-15 10:00:00,2026-06-15
MX-9201,37.9,35.0,2026-06-15 09:20:00,1,ACME PRECISION,CNT-99100,Turbo Housing Shell,Injection Molding,active,99100,5200,900,10,2026-06-15 10:20:00,2026-06-15
